date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
7/25/2022,WE4,8.31,0.75,Surface,8:53,41.8275,-83.1959,12.05,clear,2.5,24.5,221.7,1.4,70.4,7.34,1230.9,1.43,0.35,0.99,2.86,9.33,29183,73,17.3,7.97,1.82,25.77,3.214,0.69,0.11,,2.84,1.2
7/25/2022,WE6,2.85,0.75,Surface,11:50,41.7063,-83.3845,5.83,clear,0.5,25.8,376.9,4.9,29.7,10.06,575.6,18.4,27.02,0.55,309.35,271.59,1354082,1590,259.15,35.77,21.4,20.65,0.355,17.33,3.13,,32.7,28.3
7/25/2022,WE6,,0,Scum,,,,,,,,,,,,,,71.63,0.88,311.67,631.67,,,,,,,,,,,,
7/25/2022,WE8,4.74,0.75,Surface,8:01,41.8351,-83.3612,14,clear,2,25.1,278.4,1.7,65.7,7.18,540.1,3.6,4.55,0.71,43.98,26.33,118309,163,34.48,8.39,2.3,20.62,3.185,2.3,0.39,,6.6,5.44
7/25/2022,WE8,,4,Bottom,,,,,,,25,278,1.7,65.7,6.43,23.5,,4.33,0.41,45.03,22.9,,,,,,,,,,,,
7/25/2022,WE9,2.36,0.75,Surface,12:22,41.718,-83.4237,3.89,clear,0.5,26.2,435.7,6.4,20.1,7.02,174.1,18.9,13.71,0.25,54.73,65.74,110348,348,197.29,91.51,46.83,101.22,0.397,5.25,0.87,,17.2,10.2
7/25/2022,WE12,6.59,0.75,Surface,11:00,41.706,-83.2537,5.83,clear,1,25.4,279.7,3.8,38.2,7.99,1299.4,8.5,2.84,0.34,44.22,52.85,160315,252,33.11,8.7,0.87,15.49,0.223,3.2,0.47,,12.94,7.16
7/25/2022,WE12,,5.8,Bottom,,,,,,,25.3,279.7,3.9,37.3,7.83,2.2,,1.46,0.63,21.58,25.34,,,,,,,,,,,,
7/25/2022,WE13,8.9,0.75,Surface,9:41,41.7452,-83.1355,7.97,clear,2,24.8,241.3,1.8,63.9,7.22,1433,1.62,0.66,0.59,8.94,13.46,46564,29,20.09,7.89,1.71,5.12,0.326,1.05,0.15,,4.02,2.32
7/25/2022,WE13,,8.1,Bottom,,,,,,,24.9,241.6,1.8,64.4,7.35,21.6,,0.43,0.51,8.28,13.99,,,,,,,,,,,,
7/25/2022,WE16,5.84,0.75,Surface,10:22,41.6583,-83.1456,7.78,clear,3,25.2,266.4,1.2,73.8,6.87,1570.5,2.12,0.42,0.5,2.79,5.96,36888,20,18.16,6.47,1.15,31.01,0.252,0.62,0.18,,2.68,1.28
